Plant_ID,Date,Temperature,Humidity,TDS_ppm,pH,Growth_Days,Temp_Change,Humidity_Change,pH_Change,TDS_Change,Temp_Roll3,Humidity_Roll3,pH_Roll3,TDS_Roll3,Temp_Optimal,Humidity_Optimal,pH_Optimal,TDS_Optimal,Temp_Optimal_num,Humidity_Optimal_num,pH_Optimal_num,TDS_Optimal_num,Env_Score
1,2023-08-03T00:00:00Z,33.4,53,582,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-04T00:00:00Z,33.5,53,451,6.1,2,0.10000000000000142,0,-0.3000000000000007,-131,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-05T00:00:00Z,33.4,59,678,6.4,3,-0.10000000000000142,6,0.3000000000000007,227,33.43333333333333,55,6.3,570.3333333333334,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-06T00:00:00Z,33.4,68,420,6.4,4,0,9,0,-258,33.43333333333333,60,6.3,516.3333333333334,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-07T00:00:00Z,33.4,74,637,6.5,5,0,6,0.09999999999999964,217,33.4,67,6.433333333333333,578.3333333333334,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0.25
1,2023-08-08T00:00:00Z,32.3,77,478,6.8,6,-1.1000000000000014,3,0.2999999999999998,-159,33.03333333333333,73,6.566666666666666,511.6666666666667,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
1,2023-08-09T00:00:00Z,32.3,75,682,6,7,0,-2,-0.7999999999999998,204,32.666666666666664,75.33333333333333,6.433333333333333,599,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0.25
1,2023-08-10T00:00:00Z,22.7,63,576,6.3,8,-9.599999999999998,-12,0.2999999999999998,-106,29.099999999999998,71.66666666666667,6.366666666666666,578.6666666666666,TRUE,TRUE,TRUE,FALSE,1,1,1,0,0.75
1,2023-08-11T00:00:00Z,31.9,69,662,6.1,9,9.2,6,-0.20000000000000018,86,28.966666666666665,69,6.133333333333333,640,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-12T00:00:00Z,30.2,59,607,6.2,10,-1.6999999999999993,-10,0.10000000000000053,-55,28.266666666666666,63.666666666666664,6.199999999999999,615,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-13T00:00:00Z,30.1,77,670,6.5,11,-0.09999999999999787,18,0.2999999999999998,63,30.733333333333334,68.33333333333333,6.266666666666666,646.3333333333334,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0.25
1,2023-08-14T00:00:00Z,30.1,54,535,6.4,12,0,-23,-0.09999999999999964,-135,30.133333333333336,63.333333333333336,6.366666666666666,604,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
1,2023-08-15T00:00:00Z,30.1,78,480,6,13,0,24,-0.40000000000000036,-55,30.100000000000005,69.66666666666667,6.3,561.6666666666666,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0.25
1,2023-08-16T00:00:00Z,29.8,56,688,6.4,14,-0.3000000000000007,-22,0.40000000000000036,208,30,62.666666666666664,6.266666666666666,567.6666666666666,FALSE,TRUE,TRUE,FALSE,0,1,1,0,0.5
